identity_key,candidate_type,artist_display_name,title,year,existing_archetype_id,existing_archetype,approved_archetype_id,approved_archetype,source_file,decision,active_effective_credit,notes
song|bobby darin|splish splash,song,Bobby Darin,Splish Splash,1958,001,Early Rock & Roll Foundations,004,Teen Idol / Early Pop-Rock Radio,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_01_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|barbara lynn|you ll lose a good thing,song,Barbara Lynn,You'll Lose a Good Thing,1962,038,Southern Soul / Stax / Muscle Shoals,006,Early Soul-Pop / R&B Crossover,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_01_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|nelly|hot in herre,song,Nelly,Hot in Herre,2002,113,Party / Wedding / Karaoke / Bar Singalong Canon,050,Pop-Rap / Mainstream Hip-Hop Crossover,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_07_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|will smith|men in black,song,Will Smith,Men in Black,1997,106,Movie Soundtracks / 80s-90s-00s Soundtrack Memory,050,Pop-Rap / Mainstream Hip-Hop Crossover,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_07_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|lauryn hill|ex factor,song,Lauryn Hill,Ex-Factor,1998,043,Neo-Soul / Conscious R&B,050,Pop-Rap / Mainstream Hip-Hop Crossover,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_07_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|doja cat|paint the town red,song,Doja Cat,Paint the Town Red,2023,093,TikTok / Streaming-Era Pop / Internet Pop,050,Pop-Rap / Mainstream Hip-Hop Crossover,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_07_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
album|j dilla|donuts,album,J Dilla,Donuts,2006,120,Algorithmic Mood / Lo-Fi / Chill / Study Music,051,Alternative / Experimental / Indie Rap,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_07_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|digable planets|rebirth of slick cool like dat,song,Digable Planets,Rebirth of Slick (Cool Like Dat),1992,046,Golden Age Hip-Hop / Conscious / Native Tongues,051,Alternative / Experimental / Indie Rap,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_07_repair_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|simple minds|don t you forget about me,song,Simple Minds,Don't You (Forget About Me),1985,106,Movie Soundtracks / 80s-90s-00s Soundtrack Memory,088,70s-80s Pop Sovereigns,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_12_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|human league|don t you want me,song,The Human League,Don't You Want Me,1981,058,Synthpop / New Romantic / 80s Electronic Pop,088,70s-80s Pop Sovereigns,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_12_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|diana ross|i m coming out,song,Diana Ross,I'm Coming Out,1980,040,Disco / Dancefloor 70s,088,70s-80s Pop Sovereigns,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_12_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|rihanna|don t stop the music,song,Rihanna,Don't Stop the Music,2007,113,Party / Wedding / Karaoke / Bar Singalong Canon,090,2000s Pop / Dance-Pop / Club-Pop,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_12_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
song|jason mraz|i won t give up,song,Jason Mraz,I Won't Give Up,2012,113,Party / Wedding / Karaoke / Bar Singalong Canon,092,Adult Pop / TV-Drama Anthem / Inspirational Pop,data/canonical_graph/depth_hardening_v0_2/pass_c/families/family_12_pass_c_additions.json,approved_active_multi_membership,1,PM decision: all 13 current-identity collisions should live in both archetypes.
